DB_NAME,DB_ID,INSTANCE_NAME,INST_NUM,B_Y,B_MO,B_D,B_H,B_MI,B_S,E_Y,E_MO,E_D,E_H,E_MI,E_S,Name,Per Second,Per Transaction,Per Exec,Per Call
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,DB Time(s),0.0,0.1,0.00,0.01
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,DB CPU(s),0.0,0.0,0.00,0.00
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Redo size (bytes),477.1,59441.1,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Logical read (blocks),5.9,732.7,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Block changes,1.3,158.5,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Physical read (blocks),0.0,2.3,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Physical write (blocks),0.2,26.9,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Read IO requests,0.0,2.3,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Write IO requests,0.1,17.6,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Read IO (MB),0.0,0.0,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Write IO (MB),0.0,0.2,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Global Cache blocks received,0.2,27.8,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Global Cache blocks served,0.2,27.1,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,User calls,0.1,10.7,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Parses (SQL),0.4,55.2,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Hard parses (SQL),0.0,4.9,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,SQL Work Area (MB),0.0,1.5,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Logons,0.0,2.7,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Executes (SQL),1.0,129.6,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Rollbacks,0.0,0.0,,
ORCL,1380142923,orcl1,1,2014,7,10,4,0,45,2014,7,10,5,0,58,Transactions,0.0,,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,DB Time(s),0.0,0.0,0.00,0.00
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,DB CPU(s),0.0,0.0,0.00,0.00
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Redo size (bytes),730.5,11836.1,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Logical read (blocks),57.7,934.0,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Block changes,4.7,76.4,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Physical read (blocks),1.3,21.5,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Physical write (blocks),0.7,11.4,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Read IO requests,0.4,6.3,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Write IO requests,0.2,2.8,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Read IO (MB),0.0,0.2,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Write IO (MB),0.0,0.1,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Global Cache blocks received,0.3,4.4,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Global Cache blocks served,0.3,4.5,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,User calls,0.3,4.5,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Parses (SQL),1.5,24.9,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Hard parses (SQL),0.3,4.7,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,SQL Work Area (MB),0.1,0.8,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Logons,0.0,0.3,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Executes (SQL),4.4,70.9,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Rollbacks,0.0,0.0,,
ORCL,1380142923,orcl2,2,2014,7,10,4,0,45,2014,7,10,5,0,58,Transactions,0.1,,,
